Ana Paula Silveira,14/03/1985,(51)99823-4512,"Rua Mostardeiro - 342",Moinhos de Vento,Feminino
Carlos Eduardo Menezes,22/07/1990,(51)98734-2201,"Av. Ipiranga - 1200",Azenha,Masculino
Fernanda Rocha Lima,05/11/1978,(51)99512-3387,"Rua Felipe de Oliveira - 88",Petrópolis,Feminino
Roberto Alves Souza,17/04/1982,(51)98621-7743,"Rua Mostardeiro - 430",Moinhos de Vento,Masculino
Juliana Martins Costa,30/09/2000,(51)99104-5521,"Av. Bento Gonçalves - 2310",Partenon,Feminino
Marcelo Ferreira Duarte,08/12/1988,(51)98215-6634,"Rua Mariante - 77",Rio Branco,Masculino
Patricia Gomes Nunes,19/06/1975,(51)99743-8812,"Rua República - 512",Bom Fim,Feminino
Thiago Cardoso Ramos,25/02/1987,(51)98432-1190,"Av. Carlos Gomes - 890",Auxiliadora,Masculino
Camila Borges Teixeira,03/08/1996,(51)99867-3345,"Rua São Manoel - 231",Rio Branco,Feminino
Diego Henrique Vargas,14/01/1991,(51)98563-4421,"Av. Osvaldo Aranha - 1540",Bom Fim,Masculino
Larissa Moreira Pinto,27/05/1984,(51)99231-7654,"Rua Dona Laura - 660",Moinhos de Vento,Feminino
Felipe Augusto Leal,09/10/1979,(51)98741-2298,"Rua Comendador Coruja - 195",Floresta,Masculino
Aline Santos Batista,21/03/2001,(51)99354-6677,"Av. Getúlio Vargas - 755",Menino Deus,Feminino
Bruno Oliveira Machado,16/07/1986,(51)98612-5543,"Rua Ramiro Barcelos - 2880",Santana,Masculino
Vanessa Pereira Corrêa,04/12/1992,(51)99487-3312,"Av. Protásio Alves - 3200",Petrópolis,Feminino
Rodrigo Almeida Fonseca,11/09/1983,(51)98321-9987,"Rua Luciana de Abreu - 482",Moinhos de Vento,Masculino
Gabriela Azevedo Cruz,28/04/1997,(51)99678-4423,"Av. Independência - 1030",Independência,Feminino
Leonardo Costa Barbosa,07/11/1989,(51)98543-7765,"Rua Henrique Dias - 99",Rio Branco,Masculino
Isabela Carvalho Mendes,15/02/1994,(51)99812-3356,"Rua Miguel Tostes - 320",Rio Branco,Feminino
Gustavo Ribeiro Monteiro,23/06/1981,(51)98234-6621,"Av. Nilo Peçanha - 2440",Boa Vista,Masculino
Mariana Vieira Campos,01/08/1972,(51)99145-7789,"Rua Padre Chagas - 140",Moinhos de Vento,Feminino
Paulo Sérgio Tavares,18/01/1976,(51)98765-4432,"Rua General Lima e Silva - 603",Cidade Baixa,Masculino
Renata Souza Freitas,12/10/1985,(51)99532-8843,"Av. Aureliano de Figueiredo - 880",Passo da Areia,Feminino
Anderson Luiz Pacheco,06/04/1993,(51)98412-3367,"Rua Coronel Genuíno - 270",Centro,Masculino
Tatiane Rodrigues Becker,29/07/1988,(51)99287-5534,"Av. Cavalhada - 4120",Cavalhada,Feminino
Virgínia Nogueira Araújo,20/12/1995,(51)98671-2298,"Rua João Alfredo - 510",Cidade Baixa,Feminino
Stephanie Lopes Dias,09/03/2002,(51)99423-6677,"Av. Wenceslau Escobar - 1780",Tristeza,Feminino
Bianca Gonçalves Siqueira,24/09/1980,(51)98534-9921,"Rua Santa Cecília - 430",Santa Cecília,Feminino
Priscila Nascimento Pires,13/05/1987,(51)99761-3345,"Av. Plínio Brasil Milano - 560",Higienópolis,Feminino
Leandro Moraes Hoffmann,02/11/1970,(51)98243-7712,"Rua Dr. Timóteo - 1090",Floresta,Masculino
Simone Faria Esteves,17/08/1983,(51)99187-4456,"Av. Coronel Lucas de Oliveira - 2270",Petrópolis,Feminino
Henrique Mello Dutra,26/02/1991,(51)98652-3387,"Rua Guilherme Alves - 334",Bom Jesus,Masculino
Bianca Torres Queiroz,08/06/1996,(51)99843-5521,"Av. Diário de Notícias - 300",Cristal,Feminino
Elton Jardim Falcão,31/10/1977,(51)98371-9943,"Rua Hilário Ribeiro - 210",Moinhos de Vento,Masculino
Aline Borba Castilhos,16/01/1989,(51)99624-7712,"Av. Sertório - 8040",Sarandi,Feminino
Marcos Antônio Wiedemann,04/07/1984,(51)98413-2254,"Rua São Luís - 190",Navegantes,Masculino
Denise Krug Haas,22/11/1994,(51)99357-8843,"Av. Bento Gonçalves - 5690",Agronomia,Feminino
Sandro Pereira Luz,10/04/1986,(51)98721-4467,"Rua Múcio Teixeira - 780",Bom Fim,Masculino
